,単語,ネガポジ値
299,懲り懲りの,-1
300,頂けない,-1
301,墜ちる,-1
302,痛い,-1
303,痛む,-1
304,痛める,-1
305,潰れる,-1
306,諦める,-1
307,溺れる,-1
308,転ぶ,-1
309,吐き出す,-1
310,妬む,-1
311,途方に暮れる,-1
312,怒る,-1
313,倒れる,-1
314,凍える,-1
315,悼む,-1
316,盗まれる,-1
317,盗む,-1
318,当たられる,-1
319,当てられる,-1
320,頭があがらない,-1
321,頭が上がらない,-1
322,頭にくる,-1
323,頭に来る,-1
324,頭をかかえる,-1
325,頭を抱える,-1
326,曇る,-1
327,悩む,-1
328,馬鹿を見る,-1
329,廃れる,-1
330,敗ける,-1
331,敗れる,-1
332,背く,-1
333,曝す,-1
334,抜かれる,-1
335,叛く,-1
336,犯す,-1
337,悲しむ,-1
338,疲れがある,-1
339,疲れる,-1
340,被る,-1
341,謬る,-1
342,貧する,-1
343,不満がある,-1
344,不満はある,-1
345,怖れる,-1
346,怖じ気づく,-1
347,怖気付く,-1
348,腐る,-1
349,負う,-1
350,負ける,-1
351,侮る,-1
352,腹の虫がおさまらない,-1
353,腹の虫の居所が悪い,-1
354,腹立たしい,-1
355,腹立つ,-1
356,文句がある,-1
357,文句はある,-1
358,聞こえるにくい,-1
359,閉まる,-1
360,別れる,-1
361,偏る,-1
362,呆れる,-1
363,崩される,-1
364,崩す,-1
365,崩れる,-1
366,飽きる,-1
367,亡くす,-1
368,亡くする,-1
369,亡びる,-1
370,妨げる,-1
371,忘れる,-1
372,冒す,-1
373,膨れる,-1
374,謀る,-1
375,無くす,-1
376,迷う,-1
377,滅びる,-1
378,面目ない,-1
379,面目無い,-1
380,面目次第もない,-1
381,蒙る,-1
382,目の前が真っ暗になる,-1
383,薬がきかない,-1
384,落ち込む,-1
385,落とされる,-1
386,落としてしまう,-1
387,乱れる,-1
388,理性がきかない,-1
389,裂ける,-1
390,路頭に迷う,-1
391,漏らす,-1
392,漏れる,-1
393,老いる,-1
394,歪む,-1
395,詫びる,-1
396,咎める,-1
397,咬まれる,-1
398,毀す,-1
399,毀れる,-1
400,憑く,-1
401,罹る,-1
402,挾まる,-1
403,涸れる,-1
404,疵付ける,-1
405,縺れる,-1
406,茫然だ,-1
407,茫然です,-1
408,茫然と,-1
409,茫然の,-1
410,茫漠だ,-1
411,躊躇う,-1
412,躓く,-1
413,轢く,-1
414,騙す,-1
415,,-1
416,あいた口がふさがるない,-1
417,あきれるてものが言えるない,-1
418,あくが強い,-1
419,あくどい,-1
420,あざとい,-1
421,あとの祭りだ,-1
422,あとの祭りです,-1
423,あとの祭りと,-1
424,あとの祭りの,-1
425,あばずれだ,-1
426,あばずれです,-1
427,あばずれと,-1
428,あばずれの,-1
429,あほらしい,-1
430,あやしい,-1
431,あやふやだ,-1
432,あやふやです,-1
433,あらい,-1
434,あらっぽい,-1
435,ありきたりだ,-1
436,ありきたりです,-1
437,ありふれる,-1
438,ありふれるた,-1
439,あるがちだ,-1
440,あるがちです,-1
441,あわせにくい,-1
442,あんぽんたんだ,-1
443,あんぽんたんです,-1
444,あんぽんたんと,-1
445,あんぽんたんの,-1
446,いたしかたない,-1
447,いかがわしい,-1
448,いかつい,-1
449,いぎたない,-1
450,いけ好かない,-1
451,いけ図々しい,-1
452,いこじだ,-1
453,いこじです,-1
454,いじいじ,-1
455,いじける,-1
456,いじましい,-1
457,いぶかしい,-1
458,いまいち,-1
459,いまいましい,-1
460,いまひとつ,-1
461,いまわしい,-1
462,いま一つ,-1
463,いやがる,-1
464,いやしい,-1
465,いやらしい,-1
466,いろあせる,-1
467,いわくつき,-1
468,いんちき,-1
469,うじうじ,-1
470,うす汚い,-1
471,うとい,-1
472,うどの大木だ,-1
473,うどの大木です,-1
474,うどの大木と,-1
475,うどの大木の,-1
476,うらめしい,-1
477,うら寂しい,-1
478,うら悲しい,-1
479,えげつない,-1
480,おこがましい,-1
481,おしい,-1
482,おせっかいだ,-1
483,おせっかいです,-1
484,おせっかいと,-1
485,おせっかいの,-1
486,おそい,-1
487,おそまつだ,-1
488,おそまつです,-1
489,おぞましい,-1
490,おためごかしだ,-1
491,おためごかしです,-1
492,おたんこなすだ,-1
493,おたんこなすです,-1
494,おたんこなすと,-1
495,おたんこなすの,-1
496,おっかない,-1
497,おっくうだ,-1
498,おっくうです,-1
499,おっくうと,-1
500,おっくうの,-1
501,おっさんくさい,-1
502,おっちょこちょいだ,-1
503,おっちょこちょいです,-1
504,おばさん臭い,-1
505,おびやかす,-1
506,おもはゆい,-1
507,おんぼろだ,-1
508,おんぼろです,-1
509,おんぼろと,-1
510,おんぼろの,-1
511,お山の大将だ,-1
512,お山の大将です,-1
513,お山の大将と,-1
514,お山の大将の,-1
515,お節介だ,-1
516,お節介です,-1
517,お節介と,-1
518,お節介の,-1
519,お粗末だ,-1
520,お粗末です,-1
521,お粗末と,-1
522,お粗末の,-1
523,かっこ悪い,-1
524,かったるい,-1
525,かみ合うない,-1
526,かわいいげのない,-1
527,かん高い,-1
528,がさつだ,-1
529,がさつです,-1
530,がっかり,-1
531,がつがつ,-1
532,がめつい,-1
533,ききにくい,-1
534,きちきち,-1
535,きつい,-1
536,きびしい,-1
537,きゅうきゅう,-1
538,ぎくしゃく,-1
539,ぎこちない,-1
540,ぎごちない,-1
541,ぎすぎす,-1
542,ぎちぎち,-1
543,ぎゅうぎゅう,-1
544,ぎょうぎょうしい,-1
545,ぎょっと,-1
546,くしゃくしゃ,-1
547,くそまじめだ,-1
548,くそまじめです,-1
549,くだらない,-1
550,くどい,-1
551,ぐしゃぐしゃ,-1
552,ぐしょぐしょだ,-1
553,ぐしょぐしょです,-1
554,ぐじゃぐじゃだ,-1
555,ぐじゃぐじゃです,-1
556,ぐずぐず,-1
557,ぐずる,-1
